kmer,hubness,count,k,community,count_fraction
ACYLTRANSFERASE ACTIVITY,0.003570267303036979,6,2,3,0.012195121951219513
FATTY ACID,0.0015916208852848077,6,2,3,0.012195121951219513
CARBON NITROGEN,0.00045505590638245417,6,2,3,0.012195121951219513
DIPHOSPHATASE ACTIVITY,0.00042603431475087,6,2,3,0.012195121951219513
ACYL CHAIN,0.009776547234622016,5,2,3,0.01016260162601626
CHAIN REMODELLING,0.009776547234622016,5,2,3,0.01016260162601626
SYNTHESIS PIPS,0.0074213671692298176,5,2,3,0.01016260162601626
CONTAINING COMPOUND,0.004131685035657426,5,2,3,0.01016260162601626
COA LIGASE,0.00043361421503431525,5,2,3,0.01016260162601626
DEAMINASE ACTIVITY,0.00022336251742417459,5,2,3,0.01016260162601626
INOSITOL PHOSPHATE,0.010621379270498579,4,2,3,0.008130081300813009
A2 ACTIVITY,0.00828024302324026,4,2,3,0.008130081300813009
PHOSPHOLIPASE A2,0.00828024302324026,4,2,3,0.008130081300813009
PHOSPHATIDYLINOSITOL PHOSPHATE,0.0068818772892015045,4,2,3,0.008130081300813009
5 BISPHOSPHATE,0.004158884659474408,4,2,3,0.008130081300813009
PHOSPHATIDYLINOSITOL 4,0.0035972127098746853,4,2,3,0.008130081300813009
SERINE THREONINE,0.0033182426958842056,4,2,3,0.008130081300813009
THREONINE PHOSPHATASE,0.0033182426958842056,4,2,3,0.008130081300813009
3 5,0.002152604479904862,4,2,3,0.008130081300813009
GPI ANCHOR,0.0018472457539624695,4,2,3,0.008130081300813009
PHOSPHODIESTERASE ACTIVITY,0.0010753389642716854,4,2,3,0.008130081300813009
CHAIN FATTY,0.0008846117677059973,4,2,3,0.008130081300813009
ACTING CARBON,0.0004170814512466991,4,2,3,0.008130081300813009
ACTIVITY ACTING,0.0004170814512466991,4,2,3,0.008130081300813009
NITROGEN PEPTIDE,0.0004170814512466991,4,2,3,0.008130081300813009
PEPTIDE BONDS,0.0004170814512466991,4,2,3,0.008130081300813009
PHOSPHOLIPASE ACTIVITY,0.007933271601337737,3,2,3,0.006097560975609756
BISPHOSPHATE PHOSPHATASE,0.006672468469565806,3,2,3,0.006097560975609756
PROTEIN TYROSINE,0.005572558635308155,3,2,3,0.006097560975609756
COMPOUND BIOSYNTHETIC,0.005496066872352275,3,2,3,0.006097560975609756
5 PHOSPHATASE,0.004179489038894258,3,2,3,0.006097560975609756
PROTEIN SERINE,0.002810149921866956,3,2,3,0.006097560975609756
COMPOUND CATABOLIC,0.0016854777391997345,3,2,3,0.006097560975609756
LONG CHAIN,0.0009272069362161058,3,2,3,0.006097560975609756
DEPENDENT PROTEIN,0.0007677080738450566,3,2,3,0.006097560975609756
ACID COA,0.0006457540059236173,3,2,3,0.006097560975609756
ACID LIGASE,0.0003160312221698692,3,2,3,0.006097560975609756
ADENOSINE DEAMINASE,7.638770339731972e-05,3,2,3,0.006097560975609756
ACYL CHAIN REMODELLING,0.009776547234622016,5,3,3,0.01016260162601626
COA LIGASE ACTIVITY,0.00043361421503431525,5,3,3,0.01016260162601626
PHOSPHOLIPASE A2 ACTIVITY,0.00828024302324026,4,3,3,0.008130081300813009
SERINE THREONINE PHOSPHATASE,0.0033182426958842056,4,3,3,0.008130081300813009
THREONINE PHOSPHATASE ACTIVITY,0.0033182426958842056,4,3,3,0.008130081300813009
ACTING CARBON NITROGEN,0.0004170814512466991,4,3,3,0.008130081300813009
ACTIVITY ACTING CARBON,0.0004170814512466991,4,3,3,0.008130081300813009
CARBON NITROGEN PEPTIDE,0.0004170814512466991,4,3,3,0.008130081300813009
HYDROLASE ACTIVITY ACTING,0.0004170814512466991,4,3,3,0.008130081300813009
NITROGEN PEPTIDE BONDS,0.0004170814512466991,4,3,3,0.008130081300813009
BISPHOSPHATE PHOSPHATASE ACTIVITY,0.006672468469565806,3,3,3,0.006097560975609756
COMPOUND BIOSYNTHETIC PROCESS,0.005496066872352275,3,3,3,0.006097560975609756
5 PHOSPHATASE ACTIVITY,0.004179489038894258,3,3,3,0.006097560975609756
PROTEIN SERINE THREONINE,0.002810149921866956,3,3,3,0.006097560975609756
COMPOUND CATABOLIC PROCESS,0.0016854777391997345,3,3,3,0.006097560975609756
LONG CHAIN FATTY,0.0009272069362161058,3,3,3,0.006097560975609756
ACID COA LIGASE,0.0006457540059236173,3,3,3,0.006097560975609756
CHAIN FATTY ACID,0.0006457540059236173,3,3,3,0.006097560975609756
FATTY ACID COA,0.0006457540059236173,3,3,3,0.006097560975609756
ACID LIGASE ACTIVITY,0.0003160312221698692,3,3,3,0.006097560975609756
ADENOSINE DEAMINASE ACTIVITY,7.638770339731972e-05,3,3,3,0.006097560975609756
ACTIVITY,0.0037579981244296266,66,1,4,0.13414634146341464
DNA,0.005046191572388914,40,1,4,0.08130081300813008
RNA,0.005517048917425078,26,1,4,0.052845528455284556
POLYMERASE,0.0059830636032832465,23,1,4,0.046747967479674794
TRANSCRIPTION,0.008440134521299554,18,1,4,0.036585365853658534
BINDING,0.001888342892818437,16,1,4,0.032520325203252036
5,0.0024648495054477144,13,1,4,0.026422764227642278
STRAND,0.006850998984299983,12,1,4,0.024390243902439025
REPAIR,0.013782172433223706,11,1,4,0.022357723577235773
SYNTHESIS,0.008649549606490269,11,1,4,0.022357723577235773
MRNA,0.002671533275888353,11,1,4,0.022357723577235773
3,0.0020461526160784854,11,1,4,0.022357723577235773
INITIATION,0.004437361544575723,8,1,4,0.016260162601626018
SINGLE,0.002832061695955324,8,1,4,0.016260162601626018
NER,0.018146371865211987,7,1,4,0.014227642276422764
EXCISION,0.01569303289440532,7,1,4,0.014227642276422764
ELONGATION,0.011187692820103458,7,1,4,0.014227642276422764
HIV,0.010011438084032098,7,1,4,0.014227642276422764
II,0.009608362488042832,7,1,4,0.014227642276422764
III,0.0032433399811326136,7,1,4,0.014227642276422764
PHOSPHOMONOESTERS,0.003130973559666801,7,1,4,0.014227642276422764
PRODUCING,0.003130973559666801,7,1,4,0.014227642276422764
STRANDED,0.002138583770418129,7,1,4,0.014227642276422764
NUCLEOTIDE,0.01713877792276192,6,1,4,0.012195121951219513
COMPLEX,0.012063815818768373,6,1,4,0.012195121951219513
REGULATION,0.008926069985356888,6,1,4,0.012195121951219513
REPLICATION,0.0073037741854974575,6,1,4,0.012195121951219513
RESOLUTION,0.0052531336758121815,6,1,4,0.012195121951219513
ENDONUCLEASE,0.003622582201379395,6,1,4,0.012195121951219513
FORMATION,0.011118241710567585,5,1,4,0.01016260162601626
PRE,0.010176120547968513,5,1,4,0.01016260162601626
DEPENDENT,0.004092246569835022,5,1,4,0.01016260162601626
RIBONUCLEASE,0.0031068732589315962,5,1,4,0.01016260162601626
ENDODEOXYRIBONUCLEASE,0.002591960003470946,5,1,4,0.01016260162601626
EXODEOXYRIBONUCLEASE,0.0021178997240948903,5,1,4,0.01016260162601626
INCISION,0.016882909469798247,4,1,4,0.008130081300813009
GG,0.01517655851221032,4,1,4,0.008130081300813009
TP53,0.012815023753938365,4,1,4,0.008130081300813009
TRANSLESION,0.00956864083005101,4,1,4,0.008130081300813009
SITES,0.008600664155866642,4,1,4,0.008130081300813009
HOMOLOGOUS,0.007004473424006531,4,1,4,0.008130081300813009
EXONUCLEASE,0.005892724913453539,4,1,4,0.008130081300813009
BASE,0.004857269493166152,4,1,4,0.008130081300813009
1,0.003451295805065656,4,1,4,0.008130081300813009
RESPONSE,0.0018178554256542724,4,1,4,0.008130081300813009
FACTOR,0.0015545399168206534,4,1,4,0.008130081300813009
N,0.0015115365383968373,4,1,4,0.008130081300813009
CLUSTER,0.001224593420115964,4,1,4,0.008130081300813009
TC,0.02210612300254754,3,1,4,0.006097560975609756
ACTING,0.010368409682219814,3,1,4,0.006097560975609756
LAGGING,0.00931081337959435,3,1,4,0.006097560975609756
GENES,0.008087814663565571,3,1,4,0.006097560975609756
PATCH,0.007937515765733543,3,1,4,0.006097560975609756
HDR,0.007918072228801799,3,1,4,0.006097560975609756
AP,0.00773133751384147,3,1,4,0.006097560975609756
TERMINATION,0.007624373803298681,3,1,4,0.006097560975609756
RECOMBINATION,0.006863704896720331,3,1,4,0.006097560975609756
PROMOTER,0.006786751930061536,3,1,4,0.006097560975609756
C,0.006499337229459998,3,1,4,0.006097560975609756
PATHWAY,0.006010066589210152,3,1,4,0.006097560975609756
SPLICING,0.005679463942685615,3,1,4,0.006097560975609756
ACIDS,0.004550214256194962,3,1,4,0.006097560975609756
ACTIVE,0.004550214256194962,3,1,4,0.006097560975609756
DEOXYRIBONUCLEIC,0.004550214256194962,3,1,4,0.006097560975609756
EITHER,0.004550214256194962,3,1,4,0.006097560975609756
RIBO,0.004550214256194962,3,1,4,0.006097560975609756
ENDORIBONUCLEASE,0.003457162087688317,3,1,4,0.006097560975609756
TYPE,0.0025632719250657326,3,1,4,0.006097560975609756
GENERAL,0.0017820381592769865,3,1,4,0.006097560975609756
EXORIBONUCLEASE,0.0016419480549919316,3,1,4,0.006097560975609756
SPECIFIC,0.0015460031829931612,3,1,4,0.006097560975609756
TELOMERIC,0.0013004532422970915,3,1,4,0.006097560975609756
IRON,0.001004849485152381,3,1,4,0.006097560975609756
SULFUR,0.001004849485152381,3,1,4,0.006097560975609756
DECAY,0.0009894011373798473,3,1,4,0.006097560975609756
GLYCOSYLASE,0.000931458697647384,3,1,4,0.006097560975609756
BINDS,0.0008860069904214962,3,1,4,0.006097560975609756
DESTABILIZES,0.0008860069904214962,3,1,4,0.006097560975609756
SITE,0.0007534387059353168,3,1,4,0.006097560975609756
ADENYLYLTRANSFERASE,0.00042438893587292813,3,1,4,0.006097560975609756
MEDIATED,0.000215752545965472,3,1,4,0.006097560975609756
RNA POLYMERASE,0.006508547129970035,19,2,4,0.03861788617886179
EXCISION REPAIR,0.01569303289440532,7,2,4,0.014227642276422764
POLYMERASE II,0.009608362488042832,7,2,4,0.014227642276422764
POLYMERASE III,0.0032433399811326136,7,2,4,0.014227642276422764
DNA BINDING,0.0027366895919594797,7,2,4,0.014227642276422764
ENDONUCLEASE ACTIVITY,0.003622582201379395,6,2,4,0.012195121951219513
TRANSCRIPTION INITIATION,0.0032776203615947803,6,2,4,0.012195121951219513
SINGLE STRANDED,0.0023945333858208973,6,2,4,0.012195121951219513
STRANDED DNA,0.0023945333858208973,6,2,4,0.012195121951219513
POLYMERASE ACTIVITY,0.0050582586644507,5,2,4,0.01016260162601626
ENDODEOXYRIBONUCLEASE ACTIVITY,0.002591960003470946,5,2,4,0.01016260162601626
EXODEOXYRIBONUCLEASE ACTIVITY,0.0021178997240948903,5,2,4,0.01016260162601626
NUCLEOTIDE EXCISION,0.022711824769247317,4,2,4,0.008130081300813009
GG NER,0.01517655851221032,4,2,4,0.008130081300813009
DNA REPLICATION,0.006663962182253595,4,2,4,0.008130081300813009
EXONUCLEASE ACTIVITY,0.005892724913453539,4,2,4,0.008130081300813009
5 PHOSPHOMONOESTERS,0.004331207890578583,4,2,4,0.008130081300813009
PRODUCING 5,0.004331207890578583,4,2,4,0.008130081300813009
III TRANSCRIPTION,0.003656179203703945,4,2,4,0.008130081300813009
RIBONUCLEASE ACTIVITY,0.0035794128084053935,4,2,4,0.008130081300813009
DNA POLYMERASE,0.0034870168515210038,4,2,4,0.008130081300813009
3 5,0.0026993965381101894,4,2,4,0.008130081300813009
ACTIVITY PRODUCING,0.00206654303727068,4,2,4,0.008130081300813009
TC NER,0.02210612300254754,3,2,4,0.006097560975609756
REGULATION TP53,0.012006063372399603,3,2,4,0.006097560975609756
ACTIVITY ACTING,0.010368409682219814,3,2,4,0.006097560975609756
STRAND SYNTHESIS,0.009339342813816166,3,2,4,0.006097560975609756
LAGGING STRAND,0.00931081337959435,3,2,4,0.006097560975609756
TRANSLESION SYNTHESIS,0.008747842682996129,3,2,4,0.006097560975609756
AP SITES,0.00773133751384147,3,2,4,0.006097560975609756
BASE EXCISION,0.006334643727949328,3,2,4,0.006097560975609756
ACIDS PRODUCING,0.004550214256194962,3,2,4,0.006097560975609756
ACTIVE EITHER,0.004550214256194962,3,2,4,0.006097560975609756
ACTIVITY ACTIVE,0.004550214256194962,3,2,4,0.006097560975609756
DEOXYRIBONUCLEIC ACIDS,0.004550214256194962,3,2,4,0.006097560975609756
EITHER RIBO,0.004550214256194962,3,2,4,0.006097560975609756
RIBO DEOXYRIBONUCLEIC,0.004550214256194962,3,2,4,0.006097560975609756
ENDORIBONUCLEASE ACTIVITY,0.003457162087688317,3,2,4,0.006097560975609756
FACTOR ACTIVITY,0.0017820381592769865,3,2,4,0.006097560975609756
GENERAL TRANSCRIPTION,0.0017820381592769865,3,2,4,0.006097560975609756
INITIATION FACTOR,0.0017820381592769865,3,2,4,0.006097560975609756
3 PHOSPHOMONOESTERS,0.0015306611184510903,3,2,4,0.006097560975609756
PRODUCING 3,0.0015306611184510903,3,2,4,0.006097560975609756
TELOMERIC DNA,0.0013004532422970915,3,2,4,0.006097560975609756
5 3,0.0011320170872300194,3,2,4,0.006097560975609756
SULFUR CLUSTER,0.001004849485152381,3,2,4,0.006097560975609756
MRNA DECAY,0.0009894011373798473,3,2,4,0.006097560975609756
BINDS DESTABILIZES,0.0008860069904214962,3,2,4,0.006097560975609756
DESTABILIZES MRNA,0.0008860069904214962,3,2,4,0.006097560975609756
ADENYLYLTRANSFERASE ACTIVITY,0.00042438893587292813,3,2,4,0.006097560975609756
RNA POLYMERASE II,0.009608362488042832,7,3,4,0.014227642276422764
RNA POLYMERASE III,0.0032433399811326136,7,3,4,0.014227642276422764
SINGLE STRANDED DNA,0.0023945333858208973,6,3,4,0.012195121951219513
NUCLEOTIDE EXCISION REPAIR,0.022711824769247317,4,3,4,0.008130081300813009
PRODUCING 5 PHOSPHOMONOESTERS,0.004331207890578583,4,3,4,0.008130081300813009
POLYMERASE III TRANSCRIPTION,0.003656179203703945,4,3,4,0.008130081300813009
BASE EXCISION REPAIR,0.006334643727949328,3,3,4,0.006097560975609756
ACTIVE EITHER RIBO,0.004550214256194962,3,3,4,0.006097560975609756
ACTIVITY ACTIVE EITHER,0.004550214256194962,3,3,4,0.006097560975609756
DEOXYRIBONUCLEIC ACIDS PRODUCING,0.004550214256194962,3,3,4,0.006097560975609756
EITHER RIBO DEOXYRIBONUCLEIC,0.004550214256194962,3,3,4,0.006097560975609756
RIBO DEOXYRIBONUCLEIC ACIDS,0.004550214256194962,3,3,4,0.006097560975609756
DNA POLYMERASE ACTIVITY,0.0043894968378757546,3,3,4,0.006097560975609756
GENERAL TRANSCRIPTION INITIATION,0.0017820381592769865,3,3,4,0.006097560975609756
INITIATION FACTOR ACTIVITY,0.0017820381592769865,3,3,4,0.006097560975609756
TRANSCRIPTION INITIATION FACTOR,0.0017820381592769865,3,3,4,0.006097560975609756
PRODUCING 3 PHOSPHOMONOESTERS,0.0015306611184510903,3,3,4,0.006097560975609756
TELOMERIC DNA BINDING,0.0013004532422970915,3,3,4,0.006097560975609756
BINDS DESTABILIZES MRNA,0.0008860069904214962,3,3,4,0.006097560975609756
BINDING,0.0033335019186896716,56,1,5,0.11382113821138211
ACTIVITY,0.004577367546567566,20,1,5,0.04065040650406504
RNA,0.005545881679402695,16,1,5,0.032520325203252036
TRANSLATION,0.011717376920676105,13,1,5,0.026422764227642278
MRNA,0.003470647734092273,11,1,5,0.022357723577235773
REGULATION,0.001411995561678702,11,1,5,0.022357723577235773
PROTEIN,0.010913192924581702,9,1,5,0.018292682926829267
RRNA,0.01363752305495246,7,1,5,0.014227642276422764
COMPLEX,0.013349729428965297,7,1,5,0.014227642276422764
SUBUNIT,0.005383061962951698,7,1,5,0.014227642276422764
TRNA,0.0025083467514797134,7,1,5,0.014227642276422764
RIBOSOMAL,0.004425942148259117,6,1,5,0.012195121951219513
FACTOR,0.0035971790430000283,6,1,5,0.012195121951219513
RIBOSOME,0.02251567894828522,5,1,5,0.01016260162601626
INITIATION,0.011456017545621259,5,1,5,0.01016260162601626
BIOGENESIS,0.008446829861787655,5,1,5,0.01016260162601626
CONTAINING,0.002462388665951255,5,1,5,0.01016260162601626
POSITIVE,0.0005256290193752748,5,1,5,0.01016260162601626
STRUCTURAL,0.017783012068529107,4,1,5,0.008130081300813009
PROCESS,0.012751138688675329,4,1,5,0.008130081300813009
CAP,0.005488391661770042,4,1,5,0.008130081300813009
SMALL,0.003453810948044591,4,1,5,0.008130081300813009
POLY,0.0008371272417460999,4,1,5,0.008130081300813009
PRE,0.0006473596827525654,4,1,5,0.008130081300813009
SNRNA,0.0005900442461061866,4,1,5,0.008130081300813009
RESPONSE,0.00019636036946261043,4,1,5,0.008130081300813009
PROCESSING,0.023487697442157535,3,1,5,0.006097560975609756
CONSTITUENT,0.014449574230115468,3,1,5,0.006097560975609756
MITOCHONDRIAL,0.00843527794847318,3,1,5,0.006097560975609756
REGULATOR,0.00792356581407252,3,1,5,0.006097560975609756
LARGE,0.00435405353644893,3,1,5,0.006097560975609756
UTR,0.002718581068250676,3,1,5,0.006097560975609756
LIGASE,0.0025715268717431414,3,1,5,0.006097560975609756
AMINOACYLATION,0.0024362122139139804,3,1,5,0.006097560975609756
CELLULAR,0.0024112059186717906,3,1,5,0.006097560975609756
UBIQUITIN,0.001862112282798125,3,1,5,0.006097560975609756
SNORNA,0.0010183356160084098,3,1,5,0.006097560975609756
RNA BINDING,0.005641939379294257,9,2,5,0.018292682926829267
POSITIVE REGULATION,0.0005256290193752748,5,2,5,0.01016260162601626
FACTOR ACTIVITY,0.004763502233450478,4,2,5,0.008130081300813009
RRNA BINDING,0.004434581472135762,4,2,5,0.008130081300813009
MRNA BINDING,0.0021238064757134897,4,2,5,0.008130081300813009
SNRNA BINDING,0.0005900442461061866,4,2,5,0.008130081300813009
TRANSLATION INITIATION,0.018835036840279245,3,2,5,0.006097560975609756
STRUCTURAL CONSTITUENT,0.014449574230115468,3,2,5,0.006097560975609756
REGULATOR ACTIVITY,0.00792356581407252,3,2,5,0.006097560975609756
CAP BINDING,0.007224586690141597,3,2,5,0.006097560975609756
INITIATION FACTOR,0.003020760489604502,3,2,5,0.006097560975609756
TRNA AMINOACYLATION,0.0024362122139139804,3,2,5,0.006097560975609756
SNORNA BINDING,0.0010183356160084098,3,2,5,0.006097560975609756
PRE MRNA,0.0007969857062539964,3,2,5,0.006097560975609756
ACTIVITY,0.005290976510034832,61,1,6,0.12398373983739837
N,0.00401155910282975,23,1,6,0.046747967479674794
PROCESS,0.008665151172433576,21,1,6,0.042682926829268296
BIOSYNTHESIS,0.007087242520486646,19,1,6,0.03861788617886179
SULFATE,0.009303227094823072,15,1,6,0.03048780487804878
METABOLISM,0.011319601024129683,12,1,6,0.024390243902439025
GLYCAN,0.006661668829242615,10,1,6,0.02032520325203252
CAUSES,0.0043313495953523715,10,1,6,0.02032520325203252
DEFECTIVE,0.0043313495953523715,10,1,6,0.02032520325203252
BETA,0.00245618615500806,9,1,6,0.018292682926829267
BINDING,0.0010253186293958344,9,1,6,0.018292682926829267
BIOSYNTHETIC,0.015213806271960548,8,1,6,0.016260162601626018
GLYCOSYLATION,0.011231879984035308,8,1,6,0.016260162601626018
METABOLIC,0.005030564878009296,8,1,6,0.016260162601626018
ALPHA,0.001202634335729271,8,1,6,0.016260162601626018
LIPID,0.00728032810891052,7,1,6,0.014227642276422764
1,0.002803912233278408,7,1,6,0.014227642276422764
GLYCOSAMINOGLYCAN,0.014304699666389989,6,1,6,0.012195121951219513
UDP,0.009625248552523889,6,1,6,0.012195121951219513
SULFOTRANSFERASE,0.004064899202761837,6,1,6,0.012195121951219513
OLIGOSACCHARIDE,0.004049390291073436,6,1,6,0.012195121951219513
DEGRADATION,0.003952617587091694,6,1,6,0.012195121951219513
3,0.0028784302171877226,6,1,6,0.012195121951219513
TRANSFERASE,0.017971846026044614,5,1,6,0.01016260162601626
DISEASES,0.010441971566753071,5,1,6,0.01016260162601626
HEPARAN,0.008654046572863928,5,1,6,0.01016260162601626
CHONDROITIN,0.00813036852619259,5,1,6,0.01016260162601626
GALACTOSYLTRANSFERASE,0.006761609022793738,5,1,6,0.01016260162601626
MEMBRANE,0.0063244355405964545,5,1,6,0.01016260162601626
SYNTHESIS,0.004615599352294494,5,1,6,0.01016260162601626
CATABOLIC,0.004002641084269273,5,1,6,0.01016260162601626
PROTEIN,0.0034819298157215753,5,1,6,0.01016260162601626
2,0.0025668900949706018,5,1,6,0.01016260162601626
REGULATION,0.00024160584828970306,5,1,6,0.01016260162601626
GROUPS,0.021945518255537495,4,1,6,0.008130081300813009
TRANSFERRING,0.021945518255537495,4,1,6,0.008130081300813009
GLYCOPROTEIN,0.018510929746710467,4,1,6,0.008130081300813009
GAG,0.012191029532768604,4,1,6,0.008130081300813009
KERATAN,0.008405453770712461,4,1,6,0.008130081300813009
ASSOCIATED,0.00805165967489586,4,1,6,0.008130081300813009
SPHINGOLIPID,0.00727707503640781,4,1,6,0.008130081300813009
GLYCOSPHINGOLIPID,0.005549631172867202,4,1,6,0.008130081300813009
SUGAR,0.0011789765226936923,4,1,6,0.008130081300813009
DIGESTION,0.0002251083379630393,4,1,6,0.008130081300813009
LINKED,0.0194039470348283,3,1,6,0.006097560975609756
GLYCOSYL,0.016717439082364737,3,1,6,0.006097560975609756
HS,0.01239249036525656,3,1,6,0.006097560975609756
ACETYLGLUCOSAMINYLTRANSFERASE,0.009956935538112914,3,1,6,0.006097560975609756
PROTEINS,0.006046804804906342,3,1,6,0.006097560975609756
SERIES,0.005990592763883567,3,1,6,0.006097560975609756
CONTAINING,0.005423327155046558,3,1,6,0.006097560975609756
ELONGATION,0.004634096468128949,3,1,6,0.006097560975609756
HYDROLASE,0.00421430369103386,3,1,6,0.006097560975609756
SIALYLTRANSFERASE,0.0034634124305122312,3,1,6,0.006097560975609756
ACID,0.003351638875472976,3,1,6,0.006097560975609756
GOLGI,0.003307359496010433,3,1,6,0.006097560975609756
HYALURONAN,0.0023338593325690944,3,1,6,0.006097560975609756
GLUCOSAMINE,0.0019251201485277843,3,1,6,0.006097560975609756
MANNOSIDASE,0.0010821572835394433,3,1,6,0.006097560975609756
ADP,0.001040511339694424,3,1,6,0.006097560975609756
AMINO,0.0009678424778571323,3,1,6,0.006097560975609756
PATHWAY,0.000835389147014971,3,1,6,0.006097560975609756
GLUCOSIDASE,0.0005060657926768632,3,1,6,0.006097560975609756
PELLUCIDA,0.000278686873502856,3,1,6,0.006097560975609756
ZONA,0.000278686873502856,3,1,6,0.006097560975609756
FERTILIZATION,0.0001846748226230114,3,1,6,0.006097560975609756
BIOSYNTHETIC PROCESS,0.015213806271960548,8,2,6,0.016260162601626018
METABOLIC PROCESS,0.005030564878009296,8,2,6,0.016260162601626018
N GLYCAN,0.006674213978634865,7,2,6,0.014227642276422764
TRANSFERASE ACTIVITY,0.017971846026044614,5,2,6,0.01016260162601626
HEPARAN SULFATE,0.008654046572863928,5,2,6,0.01016260162601626
GALACTOSYLTRANSFERASE ACTIVITY,0.006761609022793738,5,2,6,0.01016260162601626
SULFOTRANSFERASE ACTIVITY,0.004347362775254201,5,2,6,0.01016260162601626
CATABOLIC PROCESS,0.004002641084269273,5,2,6,0.01016260162601626
ACTIVITY TRANSFERRING,0.021945518255537495,4,2,6,0.008130081300813009
CHONDROITIN SULFATE,0.009672408507033454,4,2,6,0.008130081300813009
KERATAN SULFATE,0.008405453770712461,4,2,6,0.008130081300813009
DISEASES ASSOCIATED,0.00805165967489586,4,2,6,0.008130081300813009
BETA 1,0.0035620465719903697,4,2,6,0.008130081300813009
1 3,0.003340711515384367,4,2,6,0.008130081300813009
HS GAG,0.01239249036525656,3,2,6,0.006097560975609756
MEMBRANE LIPID,0.010397016931295177,3,2,6,0.006097560975609756
ACETYLGLUCOSAMINYLTRANSFERASE ACTIVITY,0.009956935538112914,3,2,6,0.006097560975609756
GLYCAN BIOSYNTHESIS,0.009375343164408462,3,2,6,0.006097560975609756
GLYCOSAMINOGLYCAN BIOSYNTHESIS,0.00895455399389405,3,2,6,0.006097560975609756
SULFATE BIOSYNTHESIS,0.00825625122237191,3,2,6,0.006097560975609756
GLYCOSPHINGOLIPID BIOSYNTHESIS,0.005990592763883567,3,2,6,0.006097560975609756
HYDROLASE ACTIVITY,0.00421430369103386,3,2,6,0.006097560975609756
SIALYLTRANSFERASE ACTIVITY,0.0034634124305122312,3,2,6,0.006097560975609756
BETA N,0.0022365109843426392,3,2,6,0.006097560975609756
MANNOSIDASE ACTIVITY,0.0010821572835394433,3,2,6,0.006097560975609756
AMINO SUGAR,0.0009678424778571323,3,2,6,0.006097560975609756
GLUCOSIDASE ACTIVITY,0.0005060657926768632,3,2,6,0.006097560975609756
ZONA PELLUCIDA,0.000278686873502856,3,2,6,0.006097560975609756
TRANSFERASE ACTIVITY TRANSFERRING,0.021945518255537495,4,3,6,0.008130081300813009
BETA 1 3,0.0038263286840023365,3,3,6,0.006097560975609756
ACTIVITY,0.018455881520620634,37,1,7,0.07520325203252033
BINDING,0.006994897021665138,26,1,7,0.052845528455284556
DNA,0.0065020172943024,17,1,7,0.034552845528455285
HELICASE,0.01354937978277372,12,1,7,0.024390243902439025
ATPASE,0.026182014841202736,11,1,7,0.022357723577235773
DEPENDENT,0.013108628612080508,10,1,7,0.02032520325203252
ATP,0.008385456875767128,9,1,7,0.018292682926829267
MOTOR,0.013567022751912365,6,1,7,0.012195121951219513
MECHANISM,0.014068944486440405,5,1,7,0.01016260162601626
3,0.005177913661871791,5,1,7,0.01016260162601626
5,0.005177913661871791,5,1,7,0.01016260162601626
RESPONSE,0.0010576227996641403,5,1,7,0.01016260162601626
COUPLED,0.03612939349572972,4,1,7,0.008130081300813009
TRANSMEMBRANE,0.03242350230681016,4,1,7,0.008130081300813009
MICROTUBULE,0.013195415879995351,4,1,7,0.008130081300813009
PROTON,0.012976029908913458,4,1,7,0.008130081300813009
CHAIN,0.005345925064693025,4,1,7,0.008130081300813009
DYNEIN,0.005345925064693025,4,1,7,0.008130081300813009
MOVEMENT,0.02924443157544476,3,1,7,0.006097560975609756
ROTATIONAL,0.015148273324084255,3,1,7,0.006097560975609756
INSERTION,0.001745200475987134,3,1,7,0.006097560975609756
COMPLEX,0.001140259284048117,3,1,7,0.006097560975609756
HELICASE ACTIVITY,0.01354937978277372,12,2,7,0.024390243902439025
ATPASE ACTIVITY,0.028427860505662973,10,2,7,0.02032520325203252
ATP DEPENDENT,0.008608204814830107,7,2,7,0.014227642276422764
DNA BINDING,0.0017769660608305854,7,2,7,0.014227642276422764
MOTOR ACTIVITY,0.013567022751912365,6,2,7,0.012195121951219513
DNA HELICASE,0.009824320585389517,6,2,7,0.012195121951219513
ACTIVITY COUPLED,0.03612939349572972,4,2,7,0.008130081300813009
MICROTUBULE MOTOR,0.013195415879995351,4,2,7,0.008130081300813009
CHAIN BINDING,0.005345925064693025,4,2,7,0.008130081300813009
ROTATIONAL MECHANISM,0.015148273324084255,3,2,7,0.006097560975609756
DEPENDENT MICROTUBULE,0.010268815162726994,3,2,7,0.006097560975609756
3 5,0.00641153371574469,3,2,7,0.006097560975609756
COMPLEX BINDING,0.001140259284048117,3,2,7,0.006097560975609756
DNA HELICASE ACTIVITY,0.009824320585389517,6,3,7,0.012195121951219513
ATPASE ACTIVITY COUPLED,0.03612939349572972,4,3,7,0.008130081300813009
MICROTUBULE MOTOR ACTIVITY,0.013195415879995351,4,3,7,0.008130081300813009
ATP DEPENDENT MICROTUBULE,0.010268815162726994,3,3,7,0.006097560975609756
DEPENDENT MICROTUBULE MOTOR,0.010268815162726994,3,3,7,0.006097560975609756
REGULATION,0.009281610446485266,23,1,8,0.046747967479674794
SIGNALING,0.009786740668773925,17,1,8,0.034552845528455285
DEGRADATION,0.011288617169622634,9,1,8,0.018292682926829267
MEDIATED,0.010874270585783797,9,1,8,0.018292682926829267
